ordinal_date,exp_concentrations
344,4.29E-05
345,4.48E-05
346,4.60E-05
347,4.67E-05
348,4.71E-05
349,4.73E-05
350,0.00040158
351,0.00015695
352,0.00022178
353,0.00013917
354,0.00011121
355,9.27E-05
356,8.05E-05
357,8.79E-05
358,0.0019274
359,2.35E-05
360,3.50E-05
361,4.26E-05
362,4.75E-05
363,5.07E-05
364,0.001664
365,1.83E-05
